,key,sum(summ),sum(count),total
9608,Spice Racks,38279.0,9211,4.155791987840625
9609,Legal History,1014.0,244,4.155737704918033
9610,Ballpoint Pens,83886.0,20186,4.155652432378877
9611,Indoor Air Quality Meters,187.0,45,4.155555555555556
9612,Specialty Tools & Gadgets,170373.0,40999,4.155540379033635
9613,Food Tins,2435.0,586,4.1552901023890785
9614,Social Science,241.0,58,4.155172413793103
9615,Laundry & Utility Faucets,964.0,232,4.155172413793103
9616,Battery Grips,32377.0,7792,4.155159137577002
9617,Mud Flaps & Splash Guards,12590.0,3030,4.1551155115511555
9618,Bridges & Bridge Heads,536.0,129,4.155038759689923
9619,Topographic Maps,2252.0,542,4.154981549815498
9620,Canadian,590.0,142,4.154929577464789
9621,Superga,698.0,168,4.154761904761905
9622,Dishwasher Detergents,349.0,84,4.154761904761905
9623,"Biographies, Diaries & True Accounts",1450.0,349,4.154727793696275
9624,Pencil Holders,20063.0,4829,4.1546904120936015
9625,IZOD,16739.0,4029,4.1546289401836685
9626,Pole Saws,8330.0,2005,4.1546134663341645
9627,Family Activities,14246.0,3429,4.154564012831729
9628,Shift Kits,457.0,110,4.154545454545454
9629,Bear Protection,11695.0,2815,4.154529307282416
9630,Wheelbarrows,3307.0,796,4.1545226130653266
9631,Raised Toilet Seats,11458.0,2758,4.154459753444525
9632,Vehicle Harnesses,11811.0,2843,4.154414351037636
9633,Polo Ralph Lauren,27157.0,6537,4.154352149303962
9634,Business Envelopes,3365.0,810,4.154320987654321
9635,Power Steering,6867.0,1653,4.15426497277677
9636,Satire,116456.0,28033,4.1542467805800305
9637,Nesting Tables,2829.0,681,4.154185022026431
9638,Sweat Headbands & Wristbands,16301.0,3924,4.154179408766565
9639,Fish & Exotics,997.0,240,4.154166666666667
9640,Hobby Tool Sets,2102.0,506,4.154150197628459
9641,Amazon Coins,6306.0,1518,4.154150197628459
9642,Fall Protection,3531.0,850,4.154117647058824
9643,Emergency & Survival Kits,15042.0,3621,4.154101077050538
9644,Invicta,200647.0,48301,4.1540961884847105
9645,Stickers,27666.0,6660,4.154054054054054
9646,Robot Parts,54.0,13,4.153846153846154
9647,Topiary,108.0,26,4.153846153846154
9648,Flowmeters,108.0,26,4.153846153846154
9649,High Blood Pressure,54.0,13,4.153846153846154
9650,Cam-Type Connectors,54.0,13,4.153846153846154
9651,Combination Axle Kits,108.0,26,4.153846153846154
9652,Diabetic Foot Care,432.0,104,4.153846153846154
9653,Faucet Parts,51443.0,12385,4.153653613241825
9654,Dust Mops & Pads,27601.0,6645,4.15364936042137
9655,Vanity Lights,17275.0,4159,4.153642702572734
9656,Beauty,7744428.0,1864546,4.153519409014312
9657,Cheerleading,3896.0,938,4.153518123667378
9658,Spinners,19538.0,4704,4.153486394557823
9659,Boating & Water Sports,523538.0,126048,4.153481213505966
9660,Stovetop Espresso Pots,20626.0,4966,4.15344341522352
9661,Playsets,219879.0,52939,4.153440752564272
9662,Introduction,12643.0,3044,4.15341655716163
9663,Toddler Bedding,1462.0,352,4.153409090909091
9664,Oil Pumps,677.0,163,4.153374233128834
9665,Lab Filters,623.0,150,4.153333333333333
9666,Stretch,8427.0,2029,4.153277476589453
9667,Hanging Wall Files,2737.0,659,4.153262518968133
9668,Calipers & Parts,3713.0,894,4.1532438478747205
9669,Box Wrenches,1898.0,457,4.153172866520788
9670,Band & Music Fan,718664.0,173041,4.15314289677013
9671,Skin Ailments,7056.0,1699,4.153031194820483
9672,Vietnam War,13007.0,3132,4.1529374201788
9673,Steps,11300.0,2721,4.152884968761485
9674,Ducting,6520.0,1570,4.1528662420382165
9675,Adjustable Wrenches,12687.0,3055,4.152864157119477
9676,Spring Promo,5054.0,1217,4.152834839769926
9677,"Tubing, Pipe, and Hose",7093.0,1708,4.152810304449648
9678,Railroad Travel,299.0,72,4.152777777777778
9679,Human Resources Forms,1142.0,275,4.152727272727272
9680,Economics,42025.0,10120,4.152667984189724
9681,Breast Pump Accessories,4709.0,1134,4.152557319223986
9682,Ketchup,245.0,59,4.1525423728813555
9683,Fluid Reservoirs,245.0,59,4.1525423728813555
9684,Budgeting,10809.0,2603,4.152516327314637
9685,Breakfast & Cereal Bars,5228.0,1259,4.152501985702939
9686,Foamtreads,3841.0,925,4.152432432432432
9687,Sleep Bottoms,27705.0,6672,4.152428057553957
9688,Kids' Bath Towels,1117.0,269,4.152416356877324
9689,Quickdraw,872.0,210,4.152380952380953
9690,Chains,63585.0,15313,4.15235420884216
9691,Business Card Holders,34572.0,8326,4.152294018736488
9692,Constitutions,2209.0,532,4.152255639097745
9693,United Kingdom,4119.0,992,4.152217741935484
9694,Armrests,3301.0,795,4.152201257861635
9695,Antarctica,191.0,46,4.1521739130434785
9696,Wyoming,191.0,46,4.1521739130434785
9697,Patterns,710.0,171,4.152046783625731
9698,Liz Claiborne,847.0,204,4.151960784313726
9699,Bathtubs,3143.0,757,4.1519154557463676
9700,Active Leggings,32389.0,7801,4.151903602102294
9701,Rail Kits,328.0,79,4.151898734177215
9702,Shop by Designer,138499.0,33358,4.151897595779124
9703,Toddler Beds,3118.0,751,4.151797603195739
9704,Tanks Tops,1997.0,481,4.151767151767152
9705,Movies & TV,13357360.0,3217282,4.1517529392822885
9706,Trains,1669.0,402,4.151741293532338
9707,Pocket & Bifold Door Hardware,6514.0,1569,4.151688973868707
9708,Protective Flooring,1972.0,475,4.151578947368421
9709,7eye,137.0,33,4.151515151515151
9710,Ceramics & Pottery,18773.0,4522,4.151481645289695
9711,Toggle Clamps,1453.0,350,4.151428571428571
9712,Juices,4471.0,1077,4.151346332404828
9713,On-Course Accessories,31878.0,7679,4.151321786690976
9714,Feminist Theory,2524.0,608,4.151315789473684
9715,Cats,892257.0,214934,4.1513069128197495
9716,Dog,27108.0,6530,4.151301684532925
9717,Media Mailers,494.0,119,4.151260504201681
9718,Bodystockings,11594.0,2793,4.15109201575367
9719,Springform,9838.0,2370,4.151054852320675
9720,Magic,8547.0,2059,4.151044196211753
9721,Naturino,3408.0,821,4.151035322777101
9722,Loaders & Accessories,5911.0,1424,4.150983146067416
9723,Ceiling Fans & Accessories,64016.0,15422,4.150953183763455
9724,Crib Toys & Attachments,1706.0,411,4.150851581508515
9725,Protein Bars,34730.0,8367,4.150830644197442
9726,Strand,11344.0,2733,4.15075009147457
9727,Telescope Accessories,22717.0,5473,4.150739996345697
9728,A.Testoni,303.0,73,4.1506849315068495
9729,Exercise Machine Accessories,12950.0,3120,4.1506410256410255
9730,Green Tea,8048.0,1939,4.150593089221248
9731,Cable Insertion & Extraction Tools,4383.0,1056,4.150568181818182
9732,Blades,146755.0,35358,4.150545845353244
9733,Inline Skate Parts,4881.0,1176,4.150510204081633
9734,Former Soviet Republics & Siberia,855.0,206,4.150485436893204
9735,Appetizers,9874.0,2379,4.150483396385035
9736,Coolant Temperature,1324.0,319,4.150470219435737
9737,Low Strength Aids,8803.0,2121,4.150400754361151
9738,Mountrek,1187.0,286,4.15034965034965
9739,Pump & Spray Bottles,635.0,153,4.150326797385621
9740,Sauna Suits,18195.0,4384,4.150319343065694
9741,Garden Tractor & Snow Thrower,1133.0,273,4.1501831501831505
9742,Study Skills,15061.0,3629,4.150179112703224
9743,Aerosoles,34728.0,8368,4.1500956022944555
9744,Training Gloves,13471.0,3246,4.1500308071472585
9745,Sabres,83.0,20,4.15
9746,Dodgers & Flashers,166.0,40,4.15
9747,Washcloths,13641.0,3287,4.149984788560998
9748,Strollers,39076.0,9416,4.1499575191163975
9749,Paint-By-Number Kits,7337.0,1768,4.149886877828054
9750,Health Supplies,600060.0,144597,4.149878628187307
9751,Blank Video Media,16118.0,3884,4.14984552008239
9752,Interfaces,1025.0,247,4.149797570850202
9753,Experiments & Projects,1967.0,474,4.149789029535865
9754,Game Boy,7519.0,1812,4.149558498896247
9755,Close To Ceiling Lights,27254.0,6568,4.149512789281364
9756,Hot Pots,4469.0,1077,4.149489322191272
9757,Video & Electronic,1971.0,475,4.149473684210526
9758,Thongs,2971.0,716,4.149441340782123
9759,Projector Mounts,6888.0,1660,4.1493975903614455
9760,Balaclavas,26120.0,6295,4.149324861000794
9761,Charger & Converters,33991.0,8192,4.1492919921875
9762,Cookware Accessories,40454.0,9750,4.149128205128205
9763,Stereo Jack Cables,75241.0,18135,4.148938516680452
9764,Rear Shocks,195.0,47,4.148936170212766
9765,Smog Pumps,195.0,47,4.148936170212766
9766,Aussie Dogs,697.0,168,4.148809523809524
9767,"Cats, Dogs & Animals",13857.0,3340,4.1488023952095805
9768,Industrial Wire,502.0,121,4.148760330578512
9769,Putty,1423.0,343,4.14868804664723
9770,ESP,3070.0,740,4.148648648648648
9771,Big & Tall,784815.0,189178,4.148553214432968
9772,Spirulina,5111.0,1232,4.148538961038961
9773,Bimini Tops,419.0,101,4.148514851485149
9774,Vitamins & Dietary Supplements,2114507.0,509703,4.148508052728746
9775,Meals,44745.0,10786,4.148433154088633
9776,Maps,4725.0,1139,4.1483757682177345
9777,Snake,2854.0,688,4.148255813953488
9778,Short Stories,1248631.0,301006,4.148193059274566
9779,Morgan & Milo,672.0,162,4.148148148148148
9780,Kitchen Safety,672.0,162,4.148148148148148
9781,Arctic,112.0,27,4.148148148148148
9782,Travel Systems,224.0,54,4.148148148148148
9783,El Salvador,112.0,27,4.148148148148148
9784,Bipolar,896.0,216,4.148148148148148
9785,Blackjack Equipment,224.0,54,4.148148148148148
9786,Etienne Aigner,4314.0,1040,4.148076923076923
9787,7 For All Mankind,7985.0,1925,4.148051948051948
9788,Unicycles,842.0,203,4.147783251231527
9789,Lips,166392.0,40116,4.147771462758002
9790,Viking,8648.0,2085,4.147721822541967
9791,Sissy Bars,3173.0,765,4.147712418300654
9792,Vitamin A,3849.0,928,4.147629310344827
9793,Bandolino,20066.0,4838,4.147581645307978
9794,Thermostat Water Outlets,253.0,61,4.147540983606557
9795,Investing,73572.0,17739,4.147471672585828
9796,Polishers,5064.0,1221,4.1474201474201475
9797,Transmission Filters & Accessories,3405.0,821,4.147381242387333
9798,Keyboard Amplifiers,394.0,95,4.147368421052631
9799,Combination Grill-Smokers,20264.0,4886,4.147359803520262
9800,Kids' Bath,2704.0,652,4.147239263803681
9801,Gun Scopes,96474.0,23263,4.147100545931307
9802,Ice Skating,6005.0,1448,4.1470994475138125
9803,Ball Nose End Mills,141.0,34,4.147058823529412
9804,Gessoboard,141.0,34,4.147058823529412
9805,Tools & Hardware,5333.0,1286,4.1469673405909795
9806,Snack Foods,16293.0,3929,4.146856706541104
9807,Metronomes,8447.0,2037,4.146784486990673
9808,Handgun Scopes,1215.0,293,4.146757679180888
9809,Expeditions & Discoveries,11254.0,2714,4.146647015475313
9810,Firewire Cables,13630.0,3287,4.146638271980529
9811,"Absorbent Pads, Shields, Guards & Liners",23445.0,5654,4.146621860629643
9812,Telescope & Microscope Accessories,22885.0,5519,4.14658452618228
9813,Round Threading Dies,481.0,116,4.146551724137931
9814,Power Plant & Driveline Systems,19667.0,4743,4.146531730971959
9815,Alum & Styptic,3852.0,929,4.146393972012917
9816,Aviation Electronics,6348.0,1531,4.146309601567603
9817,Two-Pieces,10038.0,2421,4.1462205700123915
9818,Astrology,11800.0,2846,4.146170063246662
9819,Hydraulic Equipment,3263.0,787,4.146124523506988
9820,Filing Crates,908.0,219,4.146118721461187
9821,Window Boxes,1107.0,267,4.146067415730337
9822,Safety & Security,434187.0,104726,4.145933197104826
9823,Propellers,3582.0,864,4.145833333333333
9824,Easy Set,3582.0,864,4.145833333333333
9825,Children,398.0,96,4.145833333333333
9826,Recoil Pads,9726.0,2346,4.145780051150895
9827,Pillow Inserts,2048.0,494,4.145748987854251
9828,Z,8109.0,1956,4.145705521472393
9829,Textile & Costume,2620.0,632,4.1455696202531644
9830,Trunks,30482.0,7353,4.145518835849313
9831,Mitt Lace,228.0,55,4.1454545454545455
9832,Soft Shell Vests,228.0,55,4.1454545454545455
9833,Basic,18078.0,4361,4.145379500114653
9834,Basters & Marinaters,13808.0,3331,4.145301711197838
9835,Electric Motors & Parts,3482.0,840,4.145238095238096
9836,Data Cartridges,3511.0,847,4.14521841794569
9837,Sink & Bathtub Drains,4796.0,1157,4.145203111495246
9838,Abuse,8966.0,2163,4.145168747110494
9839,Portfolios,4373.0,1055,4.145023696682465
9840,Random-Orbit Sanders,12779.0,3083,4.144988647421343
9841,Doorstops,14524.0,3504,4.144977168949771
9842,Sunglasses & Eyewear Accessories,447043.0,107854,4.144890314684666
9843,Chlorine Alternatives,5525.0,1333,4.144786196549138
9844,FLY London,6271.0,1513,4.144745538664904
9845,Roofing Nails,315.0,76,4.144736842105263
9846,"Platforms, Stands & Shelves",87242.0,21049,4.144709962468526
9847,Vibration Damping Pads,344.0,83,4.144578313253012
9848,Criminal Law,7970.0,1923,4.144565782631306
9849,Sexual Abuse,8235.0,1987,4.14443885254152
9850,Sebago,12798.0,3088,4.144430051813472
9851,Fuel Injectors,4451.0,1074,4.144320297951583
9852,Edge Clamps,2528.0,610,4.144262295081967
9853,Toys & Games,7449741.0,1797608,4.144252250768799
9854,Civil Rights,1753.0,423,4.144208037825059
9855,Lab Vials,1322.0,319,4.144200626959248
9856,Indicators & Accessories,891.0,215,4.144186046511628
9857,Bumpers & Bumper Accessories,6013.0,1451,4.144038594073053
9858,Jewelry Sets,18615.0,4492,4.1440338379341055
9859,Jewelry Chests,2532.0,611,4.144026186579378
9860,Cakes,20919.0,5048,4.144017432646593
9861,Kids' Home Store,2706.0,653,4.143950995405819
9862,Steering System,8006.0,1932,4.1438923395445135
9863,Sweat Wristbands,6452.0,1557,4.143866409762364
9864,umi,3659.0,883,4.143827859569649
9865,Coloriffics,3344.0,807,4.143742255266419
9866,Down & Down Alternative,63777.0,15392,4.143516112266112
9867,Decongestant Sprays,4794.0,1157,4.143474503025065
9868,Historical Romance,427476.0,103169,4.143453944498832
9869,Storage,3062.0,739,4.143437077131258
9870,Bedspreads & Coverlets,15144.0,3655,4.143365253077976
9871,"Ancient, Classical & Medieval",2573.0,621,4.143317230273752
9872,Ready to Drink,11854.0,2861,4.143306536176162
9873,Xbox One,123059.0,29701,4.143261169657587
9874,Biological Sciences,53997.0,13033,4.143098288958797
9875,Holistic,6053.0,1461,4.143052703627652
9876,Transmission & Drive Train,24899.0,6010,4.142928452579035
9877,Economic Conditions,8783.0,2120,4.1429245283018865
9878,Amplifier Wiring Kits,29.0,7,4.142857142857143
9879,Talmud,696.0,168,4.142857142857143
9880,1.4.3. Girl,174.0,42,4.142857142857143
9881,Studio Pollini,58.0,14,4.142857142857143
9882,Paul Mayer Attitudes,29.0,7,4.142857142857143
9883,Roulette Tables,29.0,7,4.142857142857143
9884,Trim Rings,116.0,28,4.142857142857143
9885,Potpourri,174.0,42,4.142857142857143
9886,Free-Weight Racks,3596.0,868,4.142857142857143
9887,Facility Safety Products,435.0,105,4.142857142857143
9888,Chucks,2233.0,539,4.142857142857143
9889,Handlebar Risers,638.0,154,4.142857142857143
9890,Mainshaft Pilots,29.0,7,4.142857142857143
9891,Handbooks & Manuals,232.0,56,4.142857142857143
9892,Delhi,58.0,14,4.142857142857143
9893,Copier Labels,29.0,7,4.142857142857143
9894,Servo Gears,145.0,35,4.142857142857143
9895,Nickel & Nickel Alloys,174.0,42,4.142857142857143
9896,Serological Pipettes,58.0,14,4.142857142857143
9897,Brake Cables & Lines,609.0,147,4.142857142857143
9898,Pneumatic Mufflers,29.0,7,4.142857142857143
9899,Acrylic Adhesives,116.0,28,4.142857142857143
9900,Linear Motion Actuators,87.0,21,4.142857142857143
9901,Economy,29.0,7,4.142857142857143
9902,Jewelry,3277523.0,791132,4.142826987152587
9903,Professionals & Academics,103364.0,24951,4.142679652118152
9904,Fergie,2556.0,617,4.1426256077795784
9905,Guards & Covers,2121.0,512,4.142578125
9906,Container Gardening,11102.0,2680,4.142537313432836
9907,Globe,2850.0,688,4.142441860465116
9908,Hasps,1222.0,295,4.142372881355932
9909,Lamp Finials,1193.0,288,4.142361111111111
9910,Taps & Dies,6143.0,1483,4.142279163857046
9911,Drawstring Bags,9262.0,2236,4.14221824686941
9912,Memory Improvement,11652.0,2813,4.142196942765731
9913,Swim Diapers,8827.0,2131,4.142186766776161
9914,Zipper Pulls & Button Hooks,4399.0,1062,4.142184557438795
9915,Thai,1458.0,352,4.142045454545454
9916,Triphala,2100.0,507,4.1420118343195265
9917,Decks,5455.0,1317,4.141989369779803
9918,Dance,74398.0,17962,4.141966373455072
9919,Fasteners,62289.0,15039,4.141831238779174
9920,New Arrivals,1218708.0,294245,4.141813794626927
9921,Seals,2833.0,684,4.141812865497076
9922,Dust Collectors & Air Cleaners,6134.0,1481,4.141796083727211
9923,Literature Guides,1110.0,268,4.141791044776119
9924,Cases & Sleeves,2081886.0,502659,4.141746193741682
9925,Hispanic American Studies,526.0,127,4.141732283464567
9926,Aviation GPS,497.0,120,4.141666666666667
9927,Colonial & Revolutionary,936.0,226,4.1415929203539825
9928,Blondo,3570.0,862,4.1415313225058
9929,Tools & Equipment,550564.0,132941,4.141416116924049
9930,Doumbeks,410.0,99,4.141414141414141
9931,Sun Protection,58650.0,14162,4.141364214094055
9932,Weight Racks,8734.0,2109,4.141299193930773
9933,Rifle Scopes,80523.0,19444,4.141277514914627
9934,Brazing Torches,1437.0,347,4.141210374639769
9935,General,233749.0,56445,4.1411816812826645
9936,Arm Warmers,4137.0,999,4.141141141141141
9937,GameCube,91473.0,22089,4.141110960206437
9938,Sociology,18672.0,4509,4.14105123087159
9939,Endurance & Energy Bars,10746.0,2595,4.141040462427745
9940,Threading & Cutting Tools,1557.0,376,4.14095744680851
9941,Digital Audio Workstation Controllers,1234.0,298,4.140939597315437
9942,Prada,4878.0,1178,4.140916808149406
9943,Testers,78760.0,19020,4.140904311251314
9944,Tissue Holders,15669.0,3784,4.140856236786469
9945,Medium,1441.0,348,4.140804597701149
9946,Griddles,25176.0,6080,4.140789473684211
9947,Weight Vests,8265.0,1996,4.140781563126253
9948,Gift Wrap Tags,853.0,206,4.140776699029126
9949,Ball Hoppers,1942.0,469,4.140724946695096
9950,Bostonian,12393.0,2993,4.1406615436017375
9951,Body & Frame Parts,57778.0,13954,4.140604844489036
9952,Trim & Repair Kits,9490.0,2292,4.140488656195463
9953,Baby,3729288.0,900721,4.140336463788454
9954,College & University,1387.0,335,4.140298507462687
9955,Cooling Fans,886.0,214,4.140186915887851
9956,BDSM,159246.0,38464,4.1401310316139766
9957,Wall Stickers & Murals,164271.0,39678,4.140102827763497
9958,Personal Organizers,10586.0,2557,4.140007821666015
9959,Revolutionary,1449.0,350,4.14
9960,To Boot New York,1656.0,400,4.14
9961,Variety Packs,621.0,150,4.14
9962,Lint Removers,621.0,150,4.14
9963,Bedding & Litter,10325.0,2494,4.139935846030473
9964,Clipboards,10296.0,2487,4.139927623642944
9965,Shovels,16265.0,3929,4.139730211249682
9966,Deck Hardware,741.0,179,4.139664804469274
9967,Masking Tape,16629.0,4017,4.13965646004481
9968,Food Toppers,1275.0,308,4.1396103896103895
9969,Windscreen Trim,178.0,43,4.1395348837209305
9970,Yellowstone,178.0,43,4.1395348837209305
9971,Jury,356.0,86,4.1395348837209305
9972,Stink Bug,178.0,43,4.1395348837209305
9973,Nitrous Oxide Accessories,178.0,43,4.1395348837209305
9974,Deodorants & Antiperspirants,145821.0,35227,4.139466886195248
9975,Pipes,7364.0,1779,4.1394041596402475
9976,Camper,5435.0,1313,4.139375476009139
9977,Security Mailboxes,15179.0,3667,4.13935096809381
9978,Art Tool Cleaners,505.0,122,4.139344262295082
9979,Heat Guns,8705.0,2103,4.139324774132192
9980,Weddings,6685.0,1615,4.139318885448916
9981,Jewelry Clasps,9185.0,2219,4.139251915277152
9982,Line Conditioners,2587.0,625,4.1392
9983,Jurisprudence,803.0,194,4.139175257731959
9984,Sales,1904.0,460,4.139130434782609
9985,Paint Tools & Equipment,2976.0,719,4.1390820584144645
9986,Victorian,100519.0,24286,4.138968953306431
9987,Organ Accessories,149.0,36,4.138888888888889
9988,Dark Horse,149.0,36,4.138888888888889
9989,How To Create Comics & Manga,2206.0,533,4.138836772983114
9990,Winches,7905.0,1910,4.138743455497382
9991,Aircraft,3849.0,930,4.138709677419355
9992,Bar Tools & Glasses,145496.0,35155,4.138700042668184
9993,Preamps,2119.0,512,4.138671875
9994,Bench Vises,3733.0,902,4.138580931263858
9995,Fuel Injectors & Parts,4871.0,1177,4.138487680543755
9996,Roper,2930.0,708,4.138418079096045
9997,College & High School,1825.0,441,4.138321995464852
9998,Amsterdam,389.0,94,4.138297872340425
9999,International Law,629.0,152,4.1381578947368425
10000,Compression Socks,34288.0,8286,4.138064204682597
10001,Presentation Remotes,30038.0,7259,4.138035542085687
10002,Digital Camera Accessories,187403.0,45288,4.138027733615969
10003,Seafood Tools,7825.0,1891,4.13802221047065
10004,Shorts,274992.0,66455,4.138018207809796
10005,Bathroom Storage & Organization,480.0,116,4.137931034482759
10006,Header Bolts,120.0,29,4.137931034482759
10007,Ras,120.0,29,4.137931034482759
10008,Tanks & Reservoirs,120.0,29,4.137931034482759
10009,Entertainment Armoires,120.0,29,4.137931034482759
10010,Filling Funnels,120.0,29,4.137931034482759
10011,Mongolia,120.0,29,4.137931034482759
10012,Health & Baby Care,4771.0,1153,4.137901127493495
10013,0-9,8822.0,2132,4.137898686679175
10014,Lightning Cables,66446.0,16058,4.137875202391331
10015,Shower Curtain Liners,27761.0,6709,4.137874496944403
10016,Grow Bags,2582.0,624,4.137820512820513
10017,Women's Handbags & Purses,1291.0,312,4.137820512820513
10018,Money Banks,2462.0,595,4.137815126050421
10019,Bit Holders,1742.0,421,4.137767220902613
10020,Multipurpose,30126.0,7281,4.137618459002884
10021,Dew Caps,451.0,109,4.137614678899083
10022,Lamo,3128.0,756,4.137566137566138
10023,Distributors,2557.0,618,4.1375404530744335
10024,Bathroom Sink & Bathtub Accessories,9690.0,2342,4.137489325362938
10025,Universal Joints,873.0,211,4.137440758293839
10026,Exterior Mirrors,44775.0,10822,4.137405285529477
10027,Medical eBooks,102884.0,24867,4.13737081272369
10028,J.Renee,8614.0,2082,4.137367915465898
10029,Crates,24671.0,5963,4.1373469730001675
10030,Sorbothane,633.0,153,4.137254901960785
10031,Bidet Faucets,633.0,153,4.137254901960785
10032,thirtytwo,211.0,51,4.137254901960785
10033,Rockport,60623.0,14653,4.137241520507746
10034,Dynamic Microphones,22945.0,5546,4.137216011539849
10035,Globalization,3682.0,890,4.1370786516853935
10036,"Computadoras, Internet y Medios Digitales",1328.0,321,4.137071651090342
10037,Drippers,2747.0,664,4.1370481927710845
10038,Lip Glosses,46475.0,11234,4.136994837101656
10039,Office Management,695.0,168,4.136904761904762
10040,Walking Cradles,6044.0,1461,4.136892539356605
10041,Remote Triggers,3028.0,732,4.136612021857924
10042,Carving Sets,3119.0,754,4.136604774535809
10043,Dissection Equipment,848.0,205,4.136585365853659
10044,Travel Cases & Holders,11822.0,2858,4.1364590622813155
10045,Digital Pens,46700.0,11290,4.136403897254207
10046,Push & Pull Toys,29294.0,7082,4.136402146286359
10047,Athletic Supporters,5216.0,1261,4.136399682791436
10048,San Francisco Giants,91.0,22,4.136363636363637
10049,Indoor Ski Storage,637.0,154,4.136363636363637
10050,Professional Reference,91.0,22,4.136363636363637
10051,Gratinee Bowls,364.0,88,4.136363636363637
10052,Color Calibration Charts,1092.0,264,4.136363636363637
10053,Electric Skillets,19267.0,4658,4.1363246028338345
10054,Dong Quai,517.0,125,4.136
10055,Quick Workouts,4806.0,1162,4.135972461273666
10056,Models & Model Kits,72975.0,17644,4.135966900929494
10057,Pajama Bottoms,1369.0,331,4.13595166163142
10058,Fashion Watches,643142.0,155504,4.135855026237267
10059,Bocce,3106.0,751,4.135818908122503
10060,Chocolates,579.0,140,4.135714285714286
10061,Faucet Handles,6708.0,1622,4.135635018495685
10062,Changing Tables,488.0,118,4.135593220338983
10063,Crank Handles,244.0,59,4.135593220338983
10064,Wallpaper,5277.0,1276,4.135579937304075
10065,John Varvatos,794.0,192,4.135416666666667
10066,Ocean Minded,1741.0,421,4.135391923990499
10067,Double Leashes,1650.0,399,4.135338345864661
10068,Vacuum & Dust Collector Accessories,20846.0,5041,4.1352906169410835
10069,Digital Editing,1559.0,377,4.135278514588859
10070,Garage Wall Guards,1009.0,244,4.135245901639344
10071,Jumping Trainers,1162.0,281,4.135231316725979
10072,Guiros,459.0,111,4.135135135135135
10073,Bathtub Faucets,6273.0,1517,4.135135135135135
10074,Three-Stone Jewelry,4958.0,1199,4.1351125938281905
10075,Nets,17280.0,4179,4.1349605168700645
10076,Harnesses,97323.0,23537,4.134893996686069
10077,Power Window Motors,7021.0,1698,4.134864546525324
10078,Renzo Fontanelli,368.0,89,4.134831460674158
10079,Bradford,583.0,141,4.134751773049645
10080,Reptiles & Amphibians,50241.0,12151,4.1347214221051765
10081,Kitchen Storage & Organization Sets,39168.0,9473,4.134698617122348
10082,Carafes & Pitchers,62620.0,15145,4.134697920105645
10083,Plant Container Accessories,28517.0,6897,4.134696244744092
10084,Slave Cylinders,645.0,156,4.134615384615385
10085,Basic Halter Harnesses,54151.0,13097,4.134610979613652
10086,Ralph Lauren,5594.0,1353,4.134515890613452
10087,Tips,10667.0,2580,4.134496124031008
10088,Gangsta & Hardcore,246658.0,59660,4.134394904458599
10089,Professional Medical Supplies,52428.0,12681,4.134374260704992
10090,Kitchen Utensils & Gadgets,1907067.0,461273,4.134356444014716
10091,Pilates,7417.0,1794,4.134336677814939
10092,China,12101.0,2927,4.134267167748548
10093,Optics,616.0,149,4.134228187919463
10094,Energie,616.0,149,4.134228187919463
10095,Pins & Pincushions,8132.0,1967,4.13421453990849
10096,Effects Processors,5391.0,1304,4.13420245398773
10097,Radiology,1294.0,313,4.134185303514377
10098,Guides & Rollers,1356.0,328,4.134146341463414
10099,Baby Food,1604.0,388,4.134020618556701
10100,Multimedia Surfaces,401.0,97,4.134020618556701
10101,Travel & Regional,10769.0,2605,4.133973128598848
10102,Dogs,2895785.0,700491,4.133936053425383
10103,Lawn Care,12885.0,3117,4.133782483156882
10104,Wind & Woodwind Instruments,35691.0,8634,4.133773453787352
10105,Digital Photography,15853.0,3835,4.133767926988266
10106,Wine Tasting,649.0,157,4.13375796178344
10107,Media Storage & Organization,81732.0,19772,4.133724458830669
10108,School Uniforms,24095.0,5829,4.133642134156802
10109,Electric,7672.0,1856,4.133620689655173
10110,Saddle Pads,1889.0,457,4.133479212253829
10111,Radio Transmitters,1951.0,472,4.133474576271187
10112,Styling Products,554055.0,134041,4.133474086287031
10113,Jewelry-Making Accessories,13570.0,3283,4.133414559853792
10114,Hard Science Fiction,64510.0,15607,4.133401678733901
10115,Electrolyte Solutions,186.0,45,4.133333333333334
10116,Tungsten,62.0,15,4.133333333333334
10117,Anchorage,62.0,15,4.133333333333334
10118,Roof Caps,124.0,30,4.133333333333334
10119,Release Bearings,124.0,30,4.133333333333334
10120,Brake Accessories,62.0,15,4.133333333333334
10121,Fire Glass,62.0,15,4.133333333333334
10122,Criminal Procedure,1860.0,450,4.133333333333334
10123,Subwoofer Boxes and Enclosures,5456.0,1320,4.133333333333334
10124,Spokes & Spoke Nipples,124.0,30,4.133333333333334
10125,Economic Policy & Development,2356.0,570,4.133333333333334
10126,Red Tape,62.0,15,4.133333333333334
10127,Noodles,372.0,90,4.133333333333334
10128,Asian American,4778.0,1156,4.133217993079585
10129,Code Readers & Scan Tools,66440.0,16075,4.133125972006221
10130,Sale,10432.0,2524,4.133122028526149
10131,Kitchen & Dining,9416267.0,2278267,4.133083172428868
10132,Extended Warranties,5373.0,1300,4.133076923076923
10133,Oxfords,172501.0,41737,4.133047415961856
10134,Orchids,963.0,233,4.133047210300429
10135,Cutlery Sets,89185.0,21580,4.132761816496756
